"arquivo_relativo","status","detalhe"
"commands\bridge\index.ts","conteudo_diferente","hash_diferente"
"commands\bridge-kick.ts","conteudo_diferente","hash_diferente"
"commands\brief.ts","conteudo_diferente","hash_diferente"
"commands\btw\btw.tsx","conteudo_diferente","hash_diferente"
"commands\btw\index.ts","conteudo_diferente","hash_diferente"
"commands\bughunter\index.js","conteudo_diferente","hash_diferente"
"commands\chrome\chrome.tsx","conteudo_diferente","hash_diferente"
"commands\chrome\index.ts","conteudo_diferente","hash_diferente"
"commands\clear\caches.ts","conteudo_diferente","hash_diferente"
"commands\clear\clear.ts","conteudo_diferente","hash_diferente"
"commands\clear\conversation.ts","conteudo_diferente","hash_diferente"
"commands\clear\index.ts","conteudo_diferente","hash_diferente"
"commands\color\color.ts","conteudo_diferente","hash_diferente"
"commands\color\index.ts","conteudo_diferente","hash_diferente"
"commands\commit.ts","conteudo_diferente","hash_diferente"
"commands\commit-push-pr.ts","conteudo_diferente","hash_diferente"
"commands\compact\compact.ts","conteudo_diferente","hash_diferente"
"commands\compact\index.ts","conteudo_diferente","hash_diferente"
"commands\config\config.tsx","conteudo_diferente","hash_diferente"
"commands\config\index.ts","conteudo_diferente","hash_diferente"
"commands\context\context.tsx","conteudo_diferente","hash_diferente"
"commands\context\context-noninteractive.ts","conteudo_diferente","hash_diferente"
"commands\context\index.ts","conteudo_diferente","hash_diferente"
"commands\copy\copy.tsx","conteudo_diferente","hash_diferente"
"commands\copy\index.ts","conteudo_diferente","hash_diferente"
"commands\cost\cost.ts","conteudo_diferente","hash_diferente"
"commands\cost\index.ts","conteudo_diferente","hash_diferente"
"commands\createMovedToPluginCommand.ts","conteudo_diferente","hash_diferente"
"commands\ctx_viz\index.js","conteudo_diferente","hash_diferente"
"commands\debug-tool-call\index.js","conteudo_diferente","hash_diferente"
"commands\desktop\desktop.tsx","conteudo_diferente","hash_diferente"
"commands\desktop\index.ts","conteudo_diferente","hash_diferente"
"commands\diff\diff.tsx","conteudo_diferente","hash_diferente"
"commands\diff\index.ts","conteudo_diferente","hash_diferente"
"commands\doctor\doctor.tsx","conteudo_diferente","hash_diferente"
"commands\doctor\index.ts","conteudo_diferente","hash_diferente"
"commands\effort\effort.tsx","conteudo_diferente","hash_diferente"
"commands\effort\index.ts","conteudo_diferente","hash_diferente"
"commands\env\index.js","conteudo_diferente","hash_diferente"
"commands\exit\exit.tsx","conteudo_diferente","hash_diferente"
"commands\exit\index.ts","conteudo_diferente","hash_diferente"
"commands\export\export.tsx","conteudo_diferente","hash_diferente"
"commands\export\index.ts","conteudo_diferente","hash_diferente"
"commands\extra-usage\extra-usage.tsx","conteudo_diferente","hash_diferente"
"commands\extra-usage\extra-usage-core.ts","conteudo_diferente","hash_diferente"
"commands\extra-usage\extra-usage-noninteractive.ts","conteudo_diferente","hash_diferente"
"commands\extra-usage\index.ts","conteudo_diferente","hash_diferente"
"commands\fast\fast.tsx","conteudo_diferente","hash_diferente"
"commands\fast\index.ts","conteudo_diferente","hash_diferente"
"commands\feedback\feedback.tsx","conteudo_diferente","hash_diferente"
"commands\feedback\index.ts","conteudo_diferente","hash_diferente"
"commands\files\files.ts","conteudo_diferente","hash_diferente"
"commands\files\index.ts","conteudo_diferente","hash_diferente"
"commands\good-claude\index.js","conteudo_diferente","hash_diferente"
"commands\heapdump\heapdump.ts","conteudo_diferente","hash_diferente"
"commands\heapdump\index.ts","conteudo_diferente","hash_diferente"
"commands\help\help.tsx","conteudo_diferente","hash_diferente"
"commands\help\index.ts","conteudo_diferente","hash_diferente"
"commands\hooks\hooks.tsx","conteudo_diferente","hash_diferente"
"commands\hooks\index.ts","conteudo_diferente","hash_diferente"
"commands\ide\ide.tsx","conteudo_diferente","hash_diferente"
"commands\ide\index.ts","conteudo_diferente","hash_diferente"
"commands\init.ts","conteudo_diferente","hash_diferente"
"commands\init-verifiers.ts","conteudo_diferente","hash_diferente"
"commands\insights.ts","conteudo_diferente","hash_diferente"
"commands\install.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\ApiKeyStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\CheckExistingSecretStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\CheckGitHubStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\ChooseRepoStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\CreatingStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\ErrorStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\ExistingWorkflowStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\index.ts","conteudo_diferente","hash_diferente"
"commands\install-github-app\InstallAppStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\install-github-app.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\OAuthFlowStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\setupGitHubActions.ts","conteudo_diferente","hash_diferente"
"commands\install-github-app\SuccessStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-github-app\WarningsStep.tsx","conteudo_diferente","hash_diferente"
"commands\install-slack-app\index.ts","conteudo_diferente","hash_diferente"
"commands\install-slack-app\install-slack-app.ts","conteudo_diferente","hash_diferente"
"commands\issue\index.js","conteudo_diferente","hash_diferente"
"commands\keybindings\index.ts","conteudo_diferente","hash_diferente"
"commands\keybindings\keybindings.ts","conteudo_diferente","hash_diferente"
"commands\login\index.ts","conteudo_diferente","hash_diferente"
"commands\login\login.tsx","conteudo_diferente","hash_diferente"
"commands\logout\index.ts","conteudo_diferente","hash_diferente"
"commands\logout\logout.tsx","conteudo_diferente","hash_diferente"
"commands\mcp\addCommand.ts","conteudo_diferente","hash_diferente"
"commands\mcp\index.ts","conteudo_diferente","hash_diferente"
"commands\mcp\mcp.tsx","conteudo_diferente","hash_diferente"
"commands\mcp\xaaIdpCommand.ts","conteudo_diferente","hash_diferente"
"commands\memory\index.ts","conteudo_diferente","hash_diferente"
"commands\memory\memory.tsx","conteudo_diferente","hash_diferente"
"commands\mobile\index.ts","conteudo_diferente","hash_diferente"
"commands\mobile\mobile.tsx","conteudo_diferente","hash_diferente"
"commands\mock-limits\index.js","conteudo_diferente","hash_diferente"
"commands\model\index.ts","conteudo_diferente","hash_diferente"
"commands\model\model.tsx","conteudo_diferente","hash_diferente"
"commands\oauth-refresh\index.js","conteudo_diferente","hash_diferente"
"commands\onboarding\index.js","conteudo_diferente","hash_diferente"
"commands\output-style\index.ts","conteudo_diferente","hash_diferente"
"commands\output-style\output-style.tsx","conteudo_diferente","hash_diferente"
"commands\passes\index.ts","conteudo_diferente","hash_diferente"
"commands\passes\passes.tsx","conteudo_diferente","hash_diferente"
"commands\perf-issue\index.js","conteudo_diferente","hash_diferente"
"commands\permissions\index.ts","conteudo_diferente","hash_diferente"
"commands\permissions\permissions.tsx","conteudo_diferente","hash_diferente"
"commands\plan\index.ts","conteudo_diferente","hash_diferente"
"commands\plan\plan.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\AddMarketplace.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\BrowseMarketplace.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\DiscoverPlugins.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\index.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\ManageMarketplaces.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\ManagePlugins.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\parseArgs.ts","conteudo_diferente","hash_diferente"
"commands\plugin\plugin.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\pluginDetailsHelpers.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\PluginErrors.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\PluginOptionsDialog.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\PluginOptionsFlow.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\PluginSettings.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\PluginTrustWarning.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\UnifiedInstalledCell.tsx","conteudo_diferente","hash_diferente"
"commands\plugin\usePagination.ts","conteudo_diferente","hash_diferente"
"commands\plugin\ValidatePlugin.tsx","conteudo_diferente","hash_diferente"
"commands\pr_comments\index.ts","conteudo_diferente","hash_diferente"
"commands\privacy-settings\index.ts","conteudo_diferente","hash_diferente"
"commands\privacy-settings\privacy-settings.tsx","conteudo_diferente","hash_diferente"
"commands\rate-limit-options\index.ts","conteudo_diferente","hash_diferente"
"commands\rate-limit-options\rate-limit-options.tsx","conteudo_diferente","hash_diferente"
"commands\release-notes\index.ts","conteudo_diferente","hash_diferente"
"commands\release-notes\release-notes.ts","conteudo_diferente","hash_diferente"
"commands\reload-plugins\index.ts","conteudo_diferente","hash_diferente"
"commands\reload-plugins\reload-plugins.ts","conteudo_diferente","hash_diferente"
"commands\remote-env\index.ts","conteudo_diferente","hash_diferente"
"commands\remote-env\remote-env.tsx","conteudo_diferente","hash_diferente"
"commands\remote-setup\api.ts","conteudo_diferente","hash_diferente"
"commands\remote-setup\index.ts","conteudo_diferente","hash_diferente"
"commands\remote-setup\remote-setup.tsx","conteudo_diferente","hash_diferente"
"commands\rename\generateSessionName.ts","conteudo_diferente","hash_diferente"
"commands\rename\index.ts","conteudo_diferente","hash_diferente"
"commands\rename\rename.ts","conteudo_diferente","hash_diferente"
"commands\reset-limits\index.js","conteudo_diferente","hash_diferente"
"commands\resume\index.ts","conteudo_diferente","hash_diferente"
"commands\resume\resume.tsx","conteudo_diferente","hash_diferente"
"commands\review.ts","conteudo_diferente","hash_diferente"
"commands\review\reviewRemote.ts","conteudo_diferente","hash_diferente"
"commands\review\ultrareviewCommand.tsx","conteudo_diferente","hash_diferente"
"commands\review\ultrareviewEnabled.ts","conteudo_diferente","hash_diferente"
"commands\review\UltrareviewOverageDialog.tsx","conteudo_diferente","hash_diferente"
"commands\rewind\index.ts","conteudo_diferente","hash_diferente"
"commands\rewind\rewind.ts","conteudo_diferente","hash_diferente"
"commands\sandbox-toggle\index.ts","conteudo_diferente","hash_diferente"
"commands\sandbox-toggle\sandbox-toggle.tsx","conteudo_diferente","hash_diferente"
"commands\security-review.ts","conteudo_diferente","hash_diferente"
"commands\session\index.ts","conteudo_diferente","hash_diferente"
"commands\session\session.tsx","conteudo_diferente","hash_diferente"
"commands\share\index.js","conteudo_diferente","hash_diferente"
"commands\skills\index.ts","conteudo_diferente","hash_diferente"
"commands\skills\skills.tsx","conteudo_diferente","hash_diferente"
"commands\stats\index.ts","conteudo_diferente","hash_diferente"
"commands\stats\stats.tsx","conteudo_diferente","hash_diferente"
"commands\status\index.ts","conteudo_diferente","hash_diferente"
"commands\status\status.tsx","conteudo_diferente","hash_diferente"
"commands\statusline.tsx","conteudo_diferente","hash_diferente"
"commands\stickers\index.ts","conteudo_diferente","hash_diferente"
"commands\stickers\stickers.ts","conteudo_diferente","hash_diferente"
"commands\summary\index.js","conteudo_diferente","hash_diferente"
"commands\tag\index.ts","conteudo_diferente","hash_diferente"
"commands\tag\tag.tsx","conteudo_diferente","hash_diferente"
"commands\tasks\index.ts","conteudo_diferente","hash_diferente"
"commands\tasks\tasks.tsx","conteudo_diferente","hash_diferente"
"commands\teleport\index.js","conteudo_diferente","hash_diferente"
"commands\terminalSetup\index.ts","conteudo_diferente","hash_diferente"
"commands\terminalSetup\terminalSetup.tsx","conteudo_diferente","hash_diferente"
"commands\theme\index.ts","conteudo_diferente","hash_diferente"
"commands\theme\theme.tsx","conteudo_diferente","hash_diferente"
"commands\thinkback\index.ts","conteudo_diferente","hash_diferente"
"commands\thinkback\thinkback.tsx","conteudo_diferente","hash_diferente"
"commands\thinkback-play\index.ts","conteudo_diferente","hash_diferente"
"commands\thinkback-play\thinkback-play.ts","conteudo_diferente","hash_diferente"
"commands\ultraplan.tsx","conteudo_diferente","hash_diferente"
"commands\upgrade\index.ts","conteudo_diferente","hash_diferente"
"commands\upgrade\upgrade.tsx","conteudo_diferente","hash_diferente"
"commands\usage\index.ts","conteudo_diferente","hash_diferente"
"commands\usage\usage.tsx","conteudo_diferente","hash_diferente"
"commands\version.ts","conteudo_diferente","hash_diferente"
"commands\vim\index.ts","conteudo_diferente","hash_diferente"
"commands\vim\vim.ts","conteudo_diferente","hash_diferente"
"commands\voice\index.ts","conteudo_diferente","hash_diferente"
"commands\voice\voice.ts","conteudo_diferente","hash_diferente"
"components\AgentProgressLine.tsx","conteudo_diferente","hash_diferente"
"components\agents\AgentDetail.tsx","conteudo_diferente","hash_diferente"
"components\agents\AgentEditor.tsx","conteudo_diferente","hash_diferente"
"components\agents\agentFileUtils.ts","conteudo_diferente","hash_diferente"
"components\agents\AgentNavigationFooter.tsx","conteudo_diferente","hash_diferente"
"components\agents\AgentsList.tsx","conteudo_diferente","hash_diferente"
"components\agents\AgentsMenu.tsx","conteudo_diferente","hash_diferente"
"components\agents\ColorPicker.tsx","conteudo_diferente","hash_diferente"
"components\agents\generateAgent.ts","conteudo_diferente","hash_diferente"
"components\agents\ModelSelector.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\CreateAgentWizard.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\ColorStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\ConfirmStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\ConfirmStepWrapper.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\DescriptionStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\GenerateStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\LocationStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\MemoryStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\MethodStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\ModelStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\PromptStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\ToolsStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\new-agent-creation\wizard-steps\TypeStep.tsx","conteudo_diferente","hash_diferente"
"components\agents\ToolSelector.tsx","conteudo_diferente","hash_diferente"
"components\agents\types.ts","conteudo_diferente","hash_diferente"
"components\agents\utils.ts","conteudo_diferente","hash_diferente"
"components\agents\validateAgent.ts","conteudo_diferente","hash_diferente"
"components\App.tsx","conteudo_diferente","hash_diferente"
"components\ApproveApiKey.tsx","conteudo_diferente","hash_diferente"
"components\AutoModeOptInDialog.tsx","conteudo_diferente","hash_diferente"
"components\AutoUpdater.tsx","conteudo_diferente","hash_diferente"
"components\AutoUpdaterWrapper.tsx","conteudo_diferente","hash_diferente"
"components\AwsAuthStatusBox.tsx","conteudo_diferente","hash_diferente"
"components\BaseTextInput.tsx","conteudo_diferente","hash_diferente"
"components\BashModeProgress.tsx","conteudo_diferente","hash_diferente"
"components\BridgeDialog.tsx","conteudo_diferente","hash_diferente"
"components\BypassPermissionsModeDialog.tsx","conteudo_diferente","hash_diferente"
"components\ChannelDowngradeDialog.tsx","conteudo_diferente","hash_diferente"
"components\ClaudeCodeHint\PluginHintMenu.tsx","conteudo_diferente","hash_diferente"
"components\ClaudeInChromeOnboarding.tsx","conteudo_diferente","hash_diferente"
"components\ClaudeMdExternalIncludesDialog.tsx","conteudo_diferente","hash_diferente"
"components\ClickableImageRef.tsx","conteudo_diferente","hash_diferente"
"components\CompactSummary.tsx","conteudo_diferente","hash_diferente"
"components\ConfigurableShortcutHint.tsx","conteudo_diferente","hash_diferente"
"components\ConsoleOAuthFlow.tsx","conteudo_diferente","hash_diferente"
"components\ContextSuggestions.tsx","conteudo_diferente","hash_diferente"
"components\ContextVisualization.tsx","conteudo_diferente","hash_diferente"
"components\CoordinatorAgentStatus.tsx","conteudo_diferente","hash_diferente"
"components\CostThresholdDialog.tsx","conteudo_diferente","hash_diferente"
"components\CtrlOToExpand.tsx","conteudo_diferente","hash_diferente"
"components\CustomSelect\index.ts","conteudo_diferente","hash_diferente"
"components\CustomSelect\option-map.ts","conteudo_diferente","hash_diferente"
"components\CustomSelect\select.tsx","conteudo_diferente","hash_diferente"
"components\CustomSelect\select-input-option.tsx","conteudo_diferente","hash_diferente"
"components\CustomSelect\SelectMulti.tsx","conteudo_diferente","hash_diferente"
"components\CustomSelect\select-option.tsx","conteudo_diferente","hash_diferente"
"components\CustomSelect\use-multi-select-state.ts","conteudo_diferente","hash_diferente"
"components\CustomSelect\use-select-input.ts","conteudo_diferente","hash_diferente"
"components\CustomSelect\use-select-navigation.ts","conteudo_diferente","hash_diferente"
"components\CustomSelect\use-select-state.ts","conteudo_diferente","hash_diferente"
"components\design-system\Byline.tsx","conteudo_diferente","hash_diferente"
"components\design-system\color.ts","conteudo_diferente","hash_diferente"
"components\design-system\Dialog.tsx","conteudo_diferente","hash_diferente"
"components\design-system\Divider.tsx","conteudo_diferente","hash_diferente"
"components\design-system\FuzzyPicker.tsx","conteudo_diferente","hash_diferente"
"components\design-system\KeyboardShortcutHint.tsx","conteudo_diferente","hash_diferente"
"components\design-system\ListItem.tsx","conteudo_diferente","hash_diferente"
"components\design-system\LoadingState.tsx","conteudo_diferente","hash_diferente"
"components\design-system\Pane.tsx","conteudo_diferente","hash_diferente"
"components\design-system\ProgressBar.tsx","conteudo_diferente","hash_diferente"
"components\design-system\Ratchet.tsx","conteudo_diferente","hash_diferente"
"components\design-system\StatusIcon.tsx","conteudo_diferente","hash_diferente"
"components\design-system\Tabs.tsx","conteudo_diferente","hash_diferente"
"components\design-system\ThemedBox.tsx","conteudo_diferente","hash_diferente"
"components\design-system\ThemedText.tsx","conteudo_diferente","hash_diferente"
"components\design-system\ThemeProvider.tsx","conteudo_diferente","hash_diferente"
"components\DesktopHandoff.tsx","conteudo_diferente","hash_diferente"
"components\DesktopUpsell\DesktopUpsellStartup.tsx","conteudo_diferente","hash_diferente"
"components\DevBar.tsx","conteudo_diferente","hash_diferente"
"components\DevChannelsDialog.tsx","conteudo_diferente","hash_diferente"
"components\DiagnosticsDisplay.tsx","conteudo_diferente","hash_diferente"
"components\diff\DiffDetailView.tsx","conteudo_diferente","hash_diferente"
"components\diff\DiffDialog.tsx","conteudo_diferente","hash_diferente"
"components\diff\DiffFileList.tsx","conteudo_diferente","hash_diferente"
"components\EffortCallout.tsx","conteudo_diferente","hash_diferente"
"components\EffortIndicator.ts","conteudo_diferente","hash_diferente"
"components\ExitFlow.tsx","conteudo_diferente","hash_diferente"
"components\ExportDialog.tsx","conteudo_diferente","hash_diferente"
"components\FallbackToolUseErrorMessage.tsx","conteudo_diferente","hash_diferente"
"components\FallbackToolUseRejectedMessage.tsx","conteudo_diferente","hash_diferente"
"components\FastIcon.tsx","conteudo_diferente","hash_diferente"
"components\Feedback.tsx","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\FeedbackSurvey.tsx","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\FeedbackSurveyView.tsx","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\submitTranscriptShare.ts","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\TranscriptSharePrompt.tsx","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\useDebouncedDigitInput.ts","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\useFeedbackSurvey.tsx","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\useMemorySurvey.tsx","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\usePostCompactSurvey.tsx","conteudo_diferente","hash_diferente"
"components\FeedbackSurvey\useSurveyState.tsx","conteudo_diferente","hash_diferente"
"components\FileEditToolDiff.tsx","conteudo_diferente","hash_diferente"
"components\FileEditToolUpdatedMessage.tsx","conteudo_diferente","hash_diferente"
"components\FileEditToolUseRejectedMessage.tsx","conteudo_diferente","hash_diferente"
"components\FilePathLink.tsx","conteudo_diferente","hash_diferente"
"components\FullscreenLayout.tsx","conteudo_diferente","hash_diferente"
"components\GlobalSearchDialog.tsx","conteudo_diferente","hash_diferente"
"components\grove\Grove.tsx","conteudo_diferente","hash_diferente"
"components\HelpV2\Commands.tsx","conteudo_diferente","hash_diferente"
"components\HelpV2\General.tsx","conteudo_diferente","hash_diferente"
"components\HelpV2\HelpV2.tsx","conteudo_diferente","hash_diferente"
"components\HighlightedCode.tsx","conteudo_diferente","hash_diferente"
"components\HighlightedCode\Fallback.tsx","conteudo_diferente","hash_diferente"
"components\HistorySearchDialog.tsx","conteudo_diferente","hash_diferente"
"components\hooks\HooksConfigMenu.tsx","conteudo_diferente","hash_diferente"
"components\hooks\PromptDialog.tsx","conteudo_diferente","hash_diferente"
"components\hooks\SelectEventMode.tsx","conteudo_diferente","hash_diferente"
"components\hooks\SelectHookMode.tsx","conteudo_diferente","hash_diferente"
"components\hooks\SelectMatcherMode.tsx","conteudo_diferente","hash_diferente"
"components\hooks\ViewHookMode.tsx","conteudo_diferente","hash_diferente"
"components\IdeAutoConnectDialog.tsx","conteudo_diferente","hash_diferente"
"components\IdeOnboardingDialog.tsx","conteudo_diferente","hash_diferente"
"components\IdeStatusIndicator.tsx","conteudo_diferente","hash_diferente"
"components\IdleReturnDialog.tsx","conteudo_diferente","hash_diferente"
"components\InterruptedByUser.tsx","conteudo_diferente","hash_diferente"
"components\InvalidConfigDialog.tsx","conteudo_diferente","hash_diferente"
"components\InvalidSettingsDialog.tsx","conteudo_diferente","hash_diferente"
"components\KeybindingWarnings.tsx","conteudo_diferente","hash_diferente"
"components\LanguagePicker.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\AnimatedAsterisk.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\AnimatedClawd.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\ChannelsNotice.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\Clawd.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\CondensedLogo.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\EmergencyTip.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\Feed.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\FeedColumn.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\feedConfigs.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\GuestPassesUpsell.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\LogoV2.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\Opus1mMergeNotice.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\OverageCreditUpsell.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\VoiceModeNotice.tsx","conteudo_diferente","hash_diferente"
"components\LogoV2\WelcomeV2.tsx","conteudo_diferente","hash_diferente"
"components\LogSelector.tsx","conteudo_diferente","hash_diferente"
"components\LspRecommendation\LspRecommendationMenu.tsx","conteudo_diferente","hash_diferente"
